English,Translation,Alternative,Machine Translated,Needs Help,Comments,Section
UFO War,UFO Krieg,,,,,
Large Derecho Storm,Goßes Derecho-Gewitter,,,,,
Day Zero - Water Restrictions Needed Soon,Tag Null - Wasserbeschränkungen bald nötig,,,,,
Brownouts,Stromausfälle,,,,,
Too Hot to Work,Zu heiß zum Arbeiten,,,,,
Feminist Citizen-Scientists,Feministische Bürgerwissenschaftlerinnen,,,,,
Unrest - Protest,Unruhen - Proteste,,,,,
Volcanic Eruption,Vulkanausbruch,,,,,
Permafrost Melting,Permafrost schmilzt,,,,,
Blue Ocean Event,Rückgang des arktischen Meereises,,,,,
Hail Cannons,Hagelabwehr,,,,,
SRM - Crop Yields,SRM - Ernteerträge,,,,,
Deadly Heat Wave,Tödliche Hitzewelle,,,,,
Eco-Anxiety,Öko-Angst,,,,,
Novel Disease,Neuartige Krankheit,,,,,
Commentary - Artificial Moons,Kommentar - Künstliche Monde,,,,,
Algae Farmers,Algenzüchter,,,,,
Event Dialogue,846,,0,0,,Y
I propose a project to collect and store DNA samples of earth's remaining biodiversity...,,,,,,
A recent study compared siblings conceived before and after nearby oil spills and found that nearby oil spills double the neonatal mortality rate.,,,,,,
"Not only that, they also found that pollution is placing communities at heightened risk of kidney damage, as well as diseases such as cancer, diabetes, Alzheimer’s and Parkinson’s. ",,,,,,
"If we keep up the oil production, more and more communities are going to have to face this danger.",,,,,,
Dissolved nutrient levels at lakes and river deltas around the world have drastically improved.,,,,,,
"By designing efficient food systems and treating waste, we've brought the dead zones to life.",,,,,,
We haven't had a decent chocolate harvest for some time now...,,,,,,
"The world's gotten used to plentiful coffee and chocolate, but we may be returning to the time when they were inaccessible luxuries!",,,,,,
...coffee's not any better. Fewer and fewer places have the right growing conditions.,,,,,,
"A fungus has been spreading across Europe, killing 80% of ash trees.",,,,,,
The pathogen was able to spread rapidly due to the industrialization of the nursery trade in Europe.,,,,,,
"This has had a catastrophic impact since ash trees are a keystone species—insects, lichen, mollusks, and birds all rely on them.",,,,,,
Taking plants out of their native habitat and packing them in large quantities for container shipping is a recipe for the globalization of plant disease.,,,,,,
The algae farmers in Lake Chad and seaweed farmers in Jambiani have expanded their harvest and processing operation.,,,,,,
"For many generations, Kanembu women have passed from mother to daughter the traditional methods of harvesting spirulina from Lake Boudou Andja in Chad to make dihé.",,,,,,
They are now a major exporter of food grade algae and seaweed.,,,,,,
"It's a pressed cake of spirulina, sold in local markets and used as a sauce base. Kind of like a curry brick.",,,,,,
Pollinator populations are declining to dangerously low levels.,,,,,,
Crop yields have been a bit lower than expected...this might be why.,,,,,,
"Bees may be small, but they are a crucial part of modern farming!",,,,,,
Without them we wouldn't be able to produce nearly as many crops.,,,,,,
A collapse in pollinators will affect more than just crop yields.,,,,,,
We need to improve biodiversity and lower extinction pressures to avoid catastrophe.,,,,,,
"Worldwide, honeybees yield roughly $200 billion in pollination services!",,,,,,
The use of pesticides likely contributes to colony collapse disorder.,,,,,,
Regional borders are under attack now from people desperate to find refuge outside of their home regions.,,,,,,
...but they are escalating their tactics.,,,,,,
We're doing our best to maintain the border and prevent crossings...,,,,,,
Popular opinion is rapidly turning against you...,,,,,,
...maybe it's time to reconsider implementing hard borders?,,,,,,
Wildfires are growing in intensity and frequency.,,,,,,
"Many of the people effected are elderly and are not tech savy so they don't trust ""apps"". They think they are talking to a robot.",,,,,,
"People are suffering form PTSD from losing their homes, possessions, and pets. This is a mental health crisis!",,,,,,
So many others have had similar experiences.,,,,,,
They've ravaged countless communities across the globe.,,,,,,
A home I spent years making my own was gone in an instant...,,,,,,
How can anyone live like this?,,,,,,
"Finally, we can put that terrible past behind us.",,,,,,
"We changed, but hopefully not too late.",,,,,,
"What a weight lifted of our shoulders though, eh?",,,,,,
"I was helping out with a local remediation project, and we were clearing out some invasive plants that were upsetting the local ecosystem.",,,,,,
Turns out you can ferment them into a pretty nice refreshment!,,,,,,
Now I'm seeing everyone volunteer at remediation sites to see what they can brew up!,,,,,,
I've got a small restaurant because I love cooking for others.,,,,,,
,,,,,,
Seems like it's becoming quite the food trend!,,,,,,
I sent some to a few other chefs and we ended up putting together a book of jellyfish recipes.,,,,,,
...,,,,,,
The other day a neighbor brought in a ton of jellyfish...I guess they're everywhere now.,,,,,,
Bye!,,,,,,
Hey!,,,,,,
They're extremists!,,,,,,
"Look, you look like someone who's more...reasonable than these other parties.",,,,,,
Otherwise I fear what they're going to take next.,,,,,,
"My party is joining your coalition, so we can keep them in check together.",,,,,,
The Consumerist is now an [ally] ally. The contentedness of upper-middle and upper income regions will recover more quickly.,,,,,,
"I'm a socialist, but these people are extreme!",,,,,,
Havana in the 1990s was the first city to experiment with urban farms at a mass scale in peacetime.,,,,,,
This is great news! This'll take some load off of other parts of the food system.,,,,,,
"We have space to grow food, have more greenery in the city, and have a new hobby!",,,,,,
Now it's spreading everywhere since cities starting planning to become car-free.,,,,,,
...but with all this extra space we began reclaiming plots for larger scale urban farming.,,,,,,
So far things are going well--we've been able to meet quite a bit of our own food needs.,,,,,,
"These communities will be more resilient to food supply problems, so that's one less thing to worry about.",,,,,,
"A massive heat dome has formed, trapping scorching air across a wide area.",,,,,,
"It's too early to say, but reports are estimating deaths in the tens of thousands.",,,,,,
You are *killing* me with these plans!,,,,,,
The Consumerist is now a [nemesis] nemesis.,,,,,,
I almost miss the days before the revolution.,,,,,,
My life has only gotten worse.,,,,,,
I won't let you drag me down with you!,,,,,,
"I wanted change, but this is ridiculous.",,,,,,
All national borders were dissolved soon after the revolution.,,,,,,
"Of course, regional inequities haven't vanished overnight, so regions are still distinct from one another.",,,,,,
Here you can gain some insight on those differences and learn more about each region.,,,,,,
Now the world is organized into regions.,,,,,,
"Feel free to browse a bit. When you're ready, head on back to the ""Plan"" tab.",,,,,,
Flooding is getting even worse than before.,,,,,,
"Even if people can move back into their homes, they'll suffer health consequences for it!",,,,,,
These floods are effecting millions of people and it's becoming impossible to live in some places.,,,,,,
Mold and mildew grow soon after flooding...,,,,,,
We'll have to raise taxes.,,,,,,
We've identified several leaks at nuclear storage sites.,,,,,,
"It should be resolved soon, but I'm sure it will shake people's confidence in our nuclear program.",,,,,,
"We're dealing with it now, but the leaks have contaminated the subsurface and are threatening nearby water resources.",,,,,,
This is bad. A collapse this large and the displacement of that much water will surely have other effects.,,,,,,
"Did you know there is evidence that the Sinai once was green – as recently as 4,500 to 8,000 years ago. Cave paintings found there depict trees and plants! ",,,,,,
We've gotten lots of opposition to our cloud brightening scheme from island nations.,,,,,,
The temporary cooling has reversed.,,,,,,
"People have their heads in the clouds... we can stop this program, but geoengineering must go on.",,,,,,
"Higher temperatures have altered soil microbial ecology, causing additional carbon to be released.",,,,,,
That'll just make things hotter...you can see where this is going.,,,,,,
Crop yields are taking a hit because of that grey shroud we have around our planet.,,,,,,
"The solar radiation management initiative is upsetting my plants! They like sun, ya know.",,,,,,
" Our inspiration for the second moon is a French artist, who imagined a necklace of mirrors circling the Earth to illuminate the nighttime streets of Paris with reflected sunshine.",,,,,,
Water just isn't doing what it used to. Some places are seeing torrential rainfall become commonplace...,,,,,,
I'm sure you can guess what you need to do...,,,,,,
...but bring down the temperature anomaly and I bet we'll see this get better.,,,,,,
...so flooding is becoming more frequent and more severe.,,,,,,
The aragonite saturation horizon has risen to subsume virtually the entire Southern Ocean and encroached miles toward coasts around the world.,,,,,,
Molluscs like pteropods that form the basis of marine food webs are quite literally dissolving.,,,,,,
You can't just transition to renewables and do all of your restoration projects in whatever neighborhood you want! I'm not going to endure blackouts just because of your novel ideas.,,,,,,
You're going to regret this...,,,,,,
Big news--a proof for P = NP has been discovered.,,,,,,
At the least we'll be able to speed up our research across the board!,,,,,,
"I'll spare you the details, but suffice to say this will help greatly in all sorts of applications.",,,,,,
"National parks are beautiful, but are taking up land a lot of land these days. ",,,,,,
We'll have much less land for food—especially livestock—are you sure conservation is worth the cost?,,,,,,
I heard there were storms like this is my great grandfather's time.,,,,,,
"As I see it, we have two options. Either expand our agricultural lands at the expense of wilderness or try other kinds of farming.",,,,,,
Yields have peaked and they'll decline.,,,,,,
The soil just is blown away because we've ruined the land.,,,,,,
"Industrial agriculture gives us high yields, but it's like mining the soil.",,,,,,
"Pesticides, fertilizer, and irrigation each take their toll.",,,,,,
About nearly half of global farmland is degraded and we're still losing top soil every year.,,,,,,
"First the Great Barrier Reef, and now the very last coral has bleached.",,,,,,
I don't know if we can bring them back...,,,,,,
...but at the very least we can prevent something like this from happening again.,,,,,,
"Holy Moly, we're running out of viable petroleum reserves. It will be gone in twenty years, I reckon.",,,,,,
"They're controversial, but will ensure we have plenty oil for our energy needs.",,,,,,
Or...you could open up non-conventional oil sources.,,,,,,
Either cut down your energy-use or find another source of energy fast.,,,,,,
"To keep up oil production firms have pushed deeper into remote regions, often in Indigenous territory.",,,,,,
"Indigenous peoples have proven effective in blockading new pipelines and projects, lowering production. ",,,,,,
I'm getting reports of a novel mosquito-borne disease spreading quickly.,,,,,,
They've always been troublesome parasites--malaria kills hundreds of thousands of people per year--but in many parts of the world they weren't considered more than a nuisance.,,,,,,
Now they're much more dangerous.,,,,,,
"Warmer temperatures have been a boon for mosquito populations, so it was only a matter of time before this happened.",,,,,,
Reports of strange lights in the skies are coming in from all over the world.,,,,,,
What could it mean?,,,,,,
We've hit a nice milestone today!,,,,,,
"Of course, regions still trade food here and there for varieties that can't grow at home.",,,,,,
But now people have a more direct connection to the food they eat than they ever have.,,,,,,
Most of the world is self-sufficient in crop production. I never thought I'd see the day.,,,,,,
{region} has seceded from Gosplant.,,,,,,
This is a major blow to Gosplant...,,,,,,
...but maybe we'll survive it.,,,,,,
They felt neglected by your decision-making and lost all confidence in your capacity as planner.,,,,,,
"With the loss of animals that disperse seeds and rapid warming, plants have been unable to migrate at the pace necessary to adapt to climate change.",,,,,,
We must reorganize our society to use less land for agriculture and emit less carbon ... we have to cut down on meat.,,,,,,
"In addition, large areas of grass and shrub land have become inhospitable to the plants that once inhabited them.",,,,,,
Water stress has gotten totally out of hand.,,,,,,
Extreme rations have been implemented.,,,,,,
The area around the Niger Delta was brought to the edge of total destruction from unrestrained oil production.,,,,,,
"Thankfully, shutting down the oil industry and restoring the environment have done wonders for the region.",,,,,,
Populations of red colobus and pygmy hippos have bounced back. Local inhabitants are also much healthier and happier than before.,,,,,,
Heatwaves are becoming even more frequent and intense.,,,,,,
It's absolutely unbearable in some regions. We really can only reasonably live within a fairly limited range of temperatures.,,,,,,
We need to get things under control...I fear what may happen if we don't.,,,,,,
A nuclear power plant had a criticality accident last night.,,,,,,
The more reactors we have the more common these disasters will become.,,,,,,
"We're doing our best to contain the damage, but a lot of radiation was released in the explosion.",,,,,,
But we'll work quickly and do what we can.,,,,,,
...you've been doing great as planner...,,,,,,
...I feel like we're on the same wavelength...,,,,,,
The Accelerationist is now an [ally] ally. [research] Research points cost less [political_capital] political capital.,,,,,,
...together we can manifest a world of incredible material abundance and luxury for everyone...,,,,,,
..my party will join your coalition...,,,,,,
"Normally at this point you could hit that big ""Ready"" button to start running your plan.",,,,,,
"Press the ""Govt"" tab to head on over.",,,,,,
But first let's visit parliament and get you acquainted with the people there.,,,,,,
"Well, this is some exciting news.",,,,,,
"(I'm sure I could have solved it, if I weren't so busy here...)",,,,,,
The long elusive proof of existence and smoothness of solutions to the infamous Navier-Stokes equation has been discovered.,,,,,,
This will no doubt have a substantial impact all fields of research and engineering.,,,,,,
Umm... planner?,,,,,,
People are furious that our plans have privileged the wealthy countries.,,,,,,
Harassment of Gosplant planners and vandalism of infrastructure is becoming commonplace.,,,,,,
Our offices in the Global South have all started to notice the same thing:,,,,,,
It might get worse unless we assuage some of their concerns!,,,,,,
Deforestation of the Amazon has caused a gradual collapse of its self-feeding precipitation cycles. The rainforest is slowly turning to savanna.,,,,,,
Riots have escalated into full-blown revolt in some regions.,,,,,,
You need to take action to assuage their concerns and recover support for your plans.,,,,,,
The people are upset with how things have gone the last several years.,,,,,,
Otherwise this will end badly.,,,,,,
We have all the technologies in place to send out ships to settle new planets.,,,,,,
"We can't save Earth, at least not for everyone.",,,,,,
I urge you to focus establishing extraterrestrial human colonies...,,,,,,
...so that at least some of our species will survive.,,,,,,
Your death was celebrated by people around the world.,,,,,,
If only you could have done more...,,,,,,
...and people suffered for it.,,,,,,
Your administration had failed to achieve its goals in time...,,,,,,
"""Finally, an end to more than half a century of incompetence and disaster,"" they cheered.",,,,,,
Planner! How can you force these kinds of dietary restrictions on us?,,,,,,
You must reconsider this oppressive mandate!,,,,,,
Humans are *omnivores*--we need to eat meat!,,,,,,
And none of those silly substitutes can ever replicate the real thing.,,,,,,
Our dolphin friends have so much to teach us.,,,,,,
"For example, their method of water-birthing unlocks the secret of how humans can be birthed in space.",,,,,,
The Posadist is now an [ally] ally. Nuclear projects are substantially cheaper.,,,,,,
"This is obvious now, but it's getting quite a bit warmer.",,,,,,
"The ""nightshift"" has been said to increase health risks as well as potentially shorten lifespan!",,,,,,
"As we rely more heavily on air conditioners and fans, electricity usage will get higher.",,,,,,
Heatwaves are getting more frequent and intense.,,,,,,
Just something to be aware of.,,,,,,
"Energy companies have been preemptively shutting down power to avoid the possibility of sparking fires in the dry, windy conditions.  Pre-emptive blackouts could become a common occurrence.",,,,,,
"The increased demand for electricity, especially during peak periods, over-taxes the electrical grid, triggering brownouts and blackouts",,,,,,
We are seeing an overload of hospitalizations for people with outdoor professions...,,,,,,
"construction workers, miners, firefighters, agricultural workers, and the like.",,,,,,
Your legacy as a planner was one that you feared most:,,,,,,
If only you could go back and try again...,,,,,,
It didn't matter to them.,,,,,,
"Desperate and disheartened, people across the globe rose up against you and your plans.",,,,,,
Were you incompetent? Malicious?,,,,,,
...leaving the world in a worse shape than you found it.,,,,,,
It's either too little or too much water! Seems we can't get a good middle ground.,,,,,,
"More droughts and floods, more crop failures...we can't seem to catch a break!",,,,,,
You're an unrepentant murderer!,,,,,,
You throw away non-human life like it's nothing.,,,,,,
I will do whatever I can to stop you and defend the animal life you value so little.,,,,,,
The Animal Liberationist is now a [nemesis] nemesis.,,,,,,
You've exhausted all your political capital...,,,,,,
...so don't mess things up!,,,,,,
I believe in your decisions.,,,,,,
Hold on!,,,,,,
But they can only help you this one time...,,,,,,
Wow.,,,,,,
If they're vouching for you then you'll have a bit more political capital to work with.,,,,,,
I'll vouch for you. My word matters a lot to this generation. (+50[political_capital]),,,,,,
That was an important hero from the revolution.,,,,,,
Your enemies will see this as an opportunity to push you out of government.,,,,,,
"You know Edvard Munch's painting 'The Scream'? Well, its surreal sunset was caused by the eruption of Krakatau in 1883.",,,,,,
"So, we'll have white skies during the day and blood red sunsets. Some might like it but most will probably find the new sky disturbing.",,,,,,
More and more people are overwhelmed by dread. They fear a future of climatic disasters and mass extinction.,,,,,,
"This is causing serious mental health disorders, especially in the younger generations.",,,,,,
You have to cool the planet and stop the Sixth Extinction so people can have hope.,,,,,,
The overuse of anti-biotics in animal husbandry has caused this problem.,,,,,,
We estimate ten million people will die a year from what used to be preventable infections.,,,,,,
"It takes years of research to make new antibiotics, but now resistant strains emerge within a year.",,,,,,
I can't believe we finally did it! Half the Earth is now protected in nature preserves.,,,,,,
"There still are environmental problems, but perhaps the worst may be behind us...",,,,,,
This is the realization of the dream held by E. O. Wilson and many other conservationists decades ago.,,,,,,
"I see that patriarchy didn't die with the revolution, but rather transformed.",,,,,,
The same dynamics and attitudes that got us into these crises have found a way to persist in you and your disastrous plans.,,,,,,
It's time we stamp them out for good.,,,,,,
The Ecofeminist is now a [nemesis] nemesis.,,,,,,
These monoculture crop systems...,,,,,,
we ought to consider a move away from industrial agriculture.,,,,,,
"It saves me some effort, but it's just not worth betting our food supply on it.",,,,,,
Your reckless disregard for life is going to ruin us all!,,,,,,
We have such a unique opportunity to actually make things better for everyone.,,,,,,
Just to keep the party going a little longer for some?,,,,,,
The Utopian is now a [nemesis] nemesis.,,,,,,
But you're squandering it...for what?,,,,,,
I can't stand by while you do that.,,,,,,
My home is becoming too inhospitable...,,,,,,
"...disaster after disaster, always worrying about what will happen next.",,,,,,
"I don't want to go, but I have to. Somewhere that's safer for me and my family.",,,,,,
I know of so many others who are in a similar situation...,,,,,,
I hope one day I can go back.,,,,,,
"What a tragedy. A hundred thousand people perished last week, most of them elderly. ",,,,,,
"We have to cool things down and fast, otherwise more people will die. These disasters make people lose hope that things will get better.",,,,,,
Some say that in 20 years we will see a significant shift in political ideology as the previous generations perish under the impact of climate change.,,,,,,
I feel like we have a similar vision for the world.,,,,,,
My party will commit its seats to our shared vision and join your coalition.,,,,,,
"""Go back again, now you have seen us, and your outward eyes have learned that in spite of all the infallible maxims of your day there is yet a time of rest in store for the world, when mastery has changed into fellowship.""",,,,,,
"Before I go, let me leave you a favorite quote from William Morris:",,,,,,
I look forward to working together.,,,,,,
"The Utopian is now an [ally] ally. Limits, Protection, and Restoration projects are cheaper.",,,,,,
"Clathrates frozen for eons in cenozic bogs are thawing, releasing billions of tons of methane all at once.",,,,,,
...but this is still a huge disaster,,,,,,
Microbes are digesting much of the methane and emitting less-intense carbon dioxide instead,,,,,,
"We've been engaged in a lot of big projects recently, which is good but bottlenecks are inevitable.",,,,,,
I suggest either running fewer competing projects or we could start deep-sea mining.,,,,,,
What have we done?,,,,,,
"Planner! You're bias towards ""technology"" and ""industry"" is putting the world--and yourself--on a dangerous path.",,,,,,
"The Earth is calling for our aid and so we, the Earth Liberation Front, have returned.",,,,,,
You better abandon that cozy relationship with the Accelerationist or else we'll have to take drastic action to protect the planet.,,,,,,
Your plans have shown nothing but contempt for the people of the Global South.,,,,,,
The Fanonist is now a [nemesis] nemesis.,,,,,,
I won't let that happen again.,,,,,,
I should have known that the promises of the revolution were just more lies to get us to play along.,,,,,,
"Once again, we are just fuel to burn on the altar of progress.",,,,,,
These 'land hurricanes' are becoming a more common occurrence.,,,,,,
"If you can get the temperature anomaly under control, we should see fewer of these.",,,,,,
They're basically massive high-intensity wind storms that can devastate an area.,,,,,,
Easily accessible methane will run out in twenty years at current usage.,,,,,,
I suggest you find another source of energy posthaste.,,,,,,
Some regions are really unhappy with your decisions. Protests cropping up everywhere.,,,,,,
Your plans have only brought us only hardship!,,,,,,
I thought you were,,,,,,
We've been struck by a nasty case of wheat rust that's putting many in a shaky place with regards to food.,,,,,,
"I know it's our policy to make sure everyone's fed, so we're working on organizing food aid to the affected areas.",,,,,,
...and try this one instead...,,,,,,
"You know, I think we should reconsider that policy...",,,,,,
It seems like that permafrost melting has released some ancient organism into the world.,,,,,,
I think we should let it run its course...,,,,,,
"If we developed phage therapy, perhaps we can keep it under control.",,,,,,
Highly contagious? How interesting... It's almost as if nature itself is finally doing something about overpopulation.,,,,,,
"Yes, it's a highly contagious and dangerous bacteria. We're keeping an eye on it.",,,,,,
Your plans have been a waste of our time and energy!,,,,,,
Things aren't getting better. We won't waste any more effort on ineffective action.,,,,,,
Dead zones at our lakes and river deltas have become worse than we imagined.,,,,,,
Much of the Gulf of Mexico has depleted oxygen levels.,,,,,,
This level of agricultural fertilizer use and untreated sewage cannot be sustained.,,,,,,
People are abandoning the old religions and are turning instead to Gaia...,,,,,,
"With no other recourse, people around the world rose up in fury against you and your tyrannical plans.",,,,,,
If only you could go back and try again...,,,,,,
Did you believe this was the only way to preserve planetary civilization?,,,,,,
In your last breaths you reflected on your legacy...,,,,,,
It didn't matter to them.,,,,,,
Wide-ranging changes are needed to put us on a long-term path towards sustainability.,,,,,,
Just swipe a card into the scanner and presto! It's added to your plan.,,,,,,
"If you change your mind, you can swipe it down to remove it from the plan.",,,,,,
It takes regional governments one planning cycle to implement policies.,,,,,,
Here you can use your [political_capital] political capital to wrangle support for policies to implement worldwide.,,,,,,
And that's all there is to it!,,,,,,
"Feel free to continue to explore, but whenever you're ready press the big ""Ready"" button to launch your plan.",,,,,,
All our solar processes are seeing dips in output.,,,,,,
Probably because of the grey skies?,,,,,,
"I know the solar radiation management project keeps things cool, but we need energy too.",,,,,,
"As you pushed through change after change, your political enemies conspired against you.",,,,,,
If only you could go back and try again...,,,,,,
It didn't matter to them.,,,,,,
They took the opportunity to oust you from power once you'd exhausted all the political capital you had in parliament.,,,,,,
Was the world getting better?,,,,,,
The Atlantic Meridional Overturning Circulation is a vital ocean current.,,,,,,
We didn't expect this to happen this century...,,,,,,
Remember that 1970s novel Ecotopia? I feel like we've actually realized that dream.,,,,,,
"You can't ignore whats been happening in Ecotopia. While the rest of the world crumbles in consumerism and nonstop progress, Ecotopia is a small window into what could be.",,,,,,
Welcome to the Gosplant planning application. You can call me Gossy.,,,,,,
Got it?,,,,,,
Good luck!,,,,,,
And if the people are [nemesis] unhappy with your performance you will be removed from your position.,,,,,,
"If you get stuck, you can tap on most things for more details and reminders.",,,,,,
You'll need to spend [political_capital] political capital if you want something to happen.,,,,,,
It's your job to guide us all safely through the next century.,,,,,,
But you don't have complete authority to make decisions unilaterally.,,,,,,
You'll need to spend [political_capital] political capital if you want something to happen.,,,,,,
Got it?,,,,,,
"But if you run out of political capital, you will be recalled and your term will end.",,,,,,
"If you get stuck, you can tap on most things for more details and reminders.",,,,,,
"...Anyways, just click the ""Add"" button there to start making your plan.",,,,,,
"...Anyways, just click the ""Add"" button there to start making your plan.",,,,,,
Got it?,,,,,,
This planning application lets you make your plan.,,,,,,
"You can set [research] research priorities, initiate large-scale [initiative] projects, implement [policy] policies, or ban certain production processes.",,,,,,
Good luck!,,,,,,
Good luck!,,,,,,
"You can set [research] research priorities, initiate large-scale [initiative] projects, implement [policy] policies, or ban certain production processes.",,,,,,
"Following the recent revolution, you've been elected as the lead planner.",,,,,,
This planning application lets you make your plan.,,,,,,
And if the people are [nemesis] unhappy with your performance you will be removed from your position.,,,,,,
We're seeing elevated rates of respiratory disease in populations across the world.,,,,,,
Surely it must be from the particles used for the solar radiation management program. They've started settling back towards ground level and entering people's lungs.,,,,,,
That's the only thing in common across the global population that I can think of.,,,,,,
I'm getting older and I remember how the change came in the early 2020s...,,,,,,
"Things were hard at first, but now I think we're close to really creating a utopian society.",,,,,,
"The question is, is this end of history or its start?",,,,,,
We don't have to work hard anymore and the environmental crisis is subsiding.,,,,,,
I'm glad that it didn't turn out to be that way.,,,,,,
My island is almost completely underwater...,,,,,,
It's only a matter of time before so many others will have to grapple with the same realization.,,,,,,
Why did we have to abandon the land of our ancestors because of crimes to the Earth we did not commit?,,,,,,
How could you let it get this bad?,,,,,,
Now I'm coming to terms with the fact that we'll never be able to go back.,,,,,,
"We evacuated some time ago, hoping that we could find some way to return home.",,,,,,
The harvest of the humble—but very important—potato has taken a big hit this year.,,,,,,
"It is an important basic food for millions, and we risk a famine this year.",,,,,,
Never really liked it much myself.,,,,,,
Moving away from industrial agriculture will lower the chances these events.,,,,,,
"More work for me, but hey, if it reliably keeps us fed, I guess that's alright.",,,,,,
We're really struggling to produce enough food to feed everyone.,,,,,,
"Whether it's too hot, or there's too much water, or not enough, or whatever else is going on...",,,,,,
...you've got to do something about it!,,,,,,
*COUGH* The constant smoke from wildfires is interfering with farming...plants need sunlight!,,,,,,
...solar infrastructure too. *COUGH*,,,,,,
We're also seeing higher rates of respiratory disease. *COUGH*,,,,,,
This is your planning dashboard. It summarizes the state of the world today.,,,,,,
Use this information to figure out the biggest contributors to problem areas.,,,,,,
"When you're ready, let's head over to the ""World"" tab.",,,,,,
Tapping some values will show a detailed breakdown. Or you can use the chart below.,,,,,,
I'm seeing a disturbing increase in incidences of skin cancers and diseases.,,,,,,
I'm sure that it's because of the ozone depletion we're experiencing.,,,,,,
I encourage you to stop the solar radiation management project to stop it from progressing any further!,,,,,,
Extreme wildfires are now a regular occurrence.,,,,,,
"...making some people permanently without a home, forever on the move as they are chased by flames.",,,,,,
These fires can consume swaths of land in what feels like a blink of an eye...,,,,,,
In 2022 a socialist revolution swept the globe.,,,,,,
"It's a sunny day in Havana, where the first planning session will take place...",,,,,,
You have been elected as [gosplant]'s first lead planner.,,,,,,
"And you must do so without letting your [political_capital]<em class=""lose-con"">political capital dip below 0</em>...",,,,,,
"You must do so without letting people's [contentedness]<em class=""lose-con"">contentedness dip below 0</em>...",,,,,,
"The regions of the world united to establish [gosplant], a global planning authority.",,,,,,
[gosplant] was tasked with undoing the myriad harms that centuries of capitalism had unleashed on the planet and its people.,,,,,,
Otherwise your adversaries may take the opportunity to replace you.,,,,,,
Otherwise they will vote you out of office.,,,,,,
"It's your duty to bring [warming]<em class=""win-con"">warming to below 1°C</em>, the [extinction_rate]<em class=""win-con"">extinction rate to below 20</em>, and [emissions]<em class=""win-con"">emissions to below 0</em> while there's still time.",,,,,,
One of my colleagues was murdered last night!,,,,,,
...but what else can we do?,,,,,,
...And I've received numerous death threats too.,,,,,,
People are tremendously upset about our solar radiation management program...,,,,,,
We have been observing your planet for some time now...,,,,,,
We are encouraged by your efforts...,,,,,,
"they may not be enough, but any effort to right past wrongs should be nurtured.",,,,,,
Good luck.,,,,,,
...and watched your struggles to right the wrongs of your species' past.,,,,,,
...so please accept this gift from us.,,,,,,
In our travels we have not encountered any advanced life that is without a history of atrocity and ignorance.,,,,,,
It will help dissipate the warming shroud that envelops your beautiful planet.,,,,,,
Yet few reckon with their past...,,,,,,
...or last long enough to try.,,,,,,
...you're really misguided...,,,,,,
...i'll do whatever i can to stop you.,,,,,,
...taking us away from limitless prosperity for everyone...,,,,,,
The Accelerationist is now a [nemesis] nemesis.,,,,,,
Our high quality lithium reserves are being depleted more rapidly than we thought.,,,,,,
"Lithium's not only important for battery technology, but we use it to breed tritium for our fusion reactors.",,,,,,
"There's really not much tritium on earth, but there is quite a bit on the moon...",,,,,,
Did you know that maitake farmers are a vital part of local food chains?,,,,,,
"The Ecofeminist is now an [ally] ally. Food, Agriculture, and Protection projects are cheaper.",,,,,,
The greatest pleasures are only narrowly separated from disgust.,,,,,,
We welcome you.,,,,,,
You seem like someone who understands this...so my party is willing to join your coalition.,,,,,,
We welcome you.,,,,,,
It's almost as if a whole economy has come out of the burnt ruins in which the mushrooms grow.,,,,,,
The greatest pleasures are only narrowly separated from disgust.,,,,,,
"The Ecofeminist is now an [ally] ally. Food, Agriculture, and Protection projects are cheaper.",,,,,,
Would you be interested in foraging for mushrooms?,,,,,,
I was talking to a friend in the city and they were describing to me how trendy it is to have a small urban garden.,,,,,,
Plus people are getting a kick out of eating food they've had a hand in growing themselves.,,,,,,
Less work for me!,,,,,,
"Most of these gardens are modest, but they're able to grow quite a bit of food for the community!",,,,,,
Amateur plant breeding has become a bit of trend lately!,,,,,,
Citizens are trying to come up with their own crosses with better tolerances for more extreme climates.,,,,,,
There have been a few notable successes! We're sharing these seeds with farmers around the world.,,,,,,
It's as if our soil has up and left.,,,,,,
This poses a serious respiratory health risk. We need to enact masking ordinances.,,,,,,
The end is near.,,,,,,
This is bad. A collapse this large and the displacement of that much water will surely have other effects.,,,,,,
"It finally happened. I hope I'd never have to say these words, but here we are.",,,,,,
"I know of some are looking for a way to restore reefs, but I don't know how likely it is to work.",,,,,,
The Great Barrier Reef is dead. And other reefs are suffering a similar fate.,,,,,,
It should have never happened in the first place.,,,,,,
Either solar radiation management or coal power plants have caused acid rain to return...,,,,,,
"...but you can't make an omelette without breaking a few eggs, right?",,,,,,
" What's worse, we will risk major accidents if this continues.",,,,,,
"The bridges and buildings are crumbling, you need to put more money into public infrastructure.",,,,,,
I don't think it's worth it.,,,,,,
"The sulphuric acid eats away at concrete, turning the calcium carbonate into gypsum. We'll have to rebuild many of our bridges and buildings decades years earlier than we expected.  People aren't happy about their cities seemingly melting away in front of their eyes.",,,,,,
"The acid eats away at concrete, causes 'forest death', and kills lakes. ",,,,,,
"Actually, it's not that significant.",,,,,,
People's are not happy with your performance...[hud_contentedness] outlook is really low.,,,,,,
You need to get a handle on this situation or your career as a planner will come to an end one way or another.,,,,,,
