English,機械翻訳/machine translation,こんな翻訳もありかも？,Translation,要確認：Yを入力,コメント / comments,Section,,他の翻訳案 / alternative suggestions
In 2022 a socialist revolution swept the globe.,2022年、社会主義革命が世界を席巻した。,2022年、社会主義革命が世界を席巻した。,2022年、社会主義革命が起こり、世界政府が樹立した。,Prologue-1,Y,Prologue-1,,
"It's a sunny day in Havana, where the first planning session will take place...",最初の企画セッションが行われるハバナは晴天に恵まれている...。,,最初の企画会議が行われたバハマは、抜けるような青空が広がっていた…,P-10,,P-10,,
You have been elected as [gosplant]'s first lead planner.,あなたは、[gosplant]の初代リードプランナーに選出されました。,あなたは、[gosplant]の初代リードプランナーに選出されました。,あなたは、選挙によって[gosplant]の計画立案部門の最初の責任者に選ばれた。,P-8,,P-8,,
"And you must do so without letting your [political_capital]<em class=""lose-con"">political capital dip below 0</em>...","そして、自分の[political_capital]<em class=""lose-con"">政治的資本を0</em>以下にすることなく、そうしなければならない...。",,"そして、[political_capital]<em class=""lose-con"">政治資本が0</em>以下にならないよう、気を配らなければなりません…",P-4,,P-4,,
"You must do so without letting people's [contentedness]<em class=""lose-con"">contentedness dip below 0</em>...","人々の【満足度】<em class=""lose-con"">満足度を0</em>以下にさせないようにしなければならない...。",,"このとき、人々の[contentedness]<em class=""lose-con"">満足度が0</em>以下になることは、絶対に避けなければならない…",P-6,,P-6,,
"The regions of the world united to establish [gosplant], a global planning authority.",世界の地域が一致団結して、地球規模の計画立案機関である【ゴスプラント】を設立。,世界の地域が一致団結して、地球規模の計画立案機関である【ゴスプラント】を設立。,世界中の地域が手を取り合って、地球規模の計画立案期間である[gosplant]を設立した。,P-2,,P-2,,
[gosplant] was tasked with undoing the myriad harms that centuries of capitalism had unleashed on the planet and its people.,[ゴスプラントは、何世紀にもわたる資本主義が地球と人々に及ぼした無数の害悪を元に戻すことを使命としていたのです。,[ゴスプラント]の任務は、資本主義が何世紀にもわたって地球と人々にもたらした無数の傷を回復させることだった。,[gosplant]の任務は、資本主義が何世紀にもわたり地球と人類にもたらした無数の傷跡を回復させることだ。,P-3,,P-3,,
Otherwise your adversaries may take the opportunity to replace you.,そうでなければ、敵はこの機会にあなたに取って代わるかもしれません。,,そのようなことがあれば、あなたの敵対勢力はその好機を見逃すことなく、あなたの席を狙うだろう。,P-9,,P-9,,
Otherwise they will vote you out of office.,そうでなければ、彼らはあなたを選挙で落選させるでしょう。,,そのようなことがあれば、あなたの首は選挙によって別の人間の首にすげ替えられることになるだろう。,P-7,,P-7,,
"It's your duty to bring [warming]<em class=""win-con"">warming to below 1°C</em>, the [extinction_rate]<em class=""win-con"">extinction rate to below 20</em>, and [emissions]<em class=""win-con"">emissions to below 0</em> while there's still time.","まだ時間があるうちに、[温暖化]<em class=""win-con"">温暖化を1℃以下に</em>、[絶滅率]<em class=""win-con"">絶滅率を20以下に</em>、[排出]<em class=""win-con"">排出量を0以下にすることがあなたの義務です</em>。","あなたの任務は、
[温暖化]<em class=""win-con"">温暖化を1℃</em>以下にすること。
[絶滅率]<em class=""win-con"">絶滅率を20</em>以下にすること。
[排出量]<em class=""win-con"">排出量を0</em>以下にすることだ。
残された時間は少ない。","あなたは地球に残されたわずかな時間の中で、以下の基準を達成しなければならない。[warming]<em class=""win-con"">気温上昇を1℃</em>以下にすること、[extinction_rate]<em class=""win-con"">種の絶滅の速度を20</em>以下にすること、 [emissions]<em class=""win-con"">CO2の排出量を0</em>以下にすること。",P-5,,P-5,,
One of my colleagues was murdered last night!,昨夜、同僚の一人が殺されたんだ！,,昨夜、私の同僚の一人が殺害されました！,,,,,
...but what else can we do?,...でも、他に何ができるんだろう？,,…でも、私たちになにができるでしょうか？,,,,,
...And I've received numerous death threats too.,...そして、私も何度も死の脅迫を受けています。,,…そして、私自身もなんども殺害の脅迫を受けてきました。,,,,,
People are tremendously upset about our solar radiation management program...,私たちの日射管理プログラムに、人々はとてつもなく怒っている......。,,人々は、太陽放射管理計画に対して激怒しています…,,,,,
We have been observing your planet for some time now...,私たちはあなたの惑星をしばらく観察してきました...,,私たちはしばらくの間、あなたがたの惑星を観察してきました…,,,,,
We are encouraged by your efforts...,皆さんの頑張りを励みに...。,,私たちはあなたの努力に励まされています...,,,,,
"they may not be enough, but any effort to right past wrongs should be nurtured.",しかし、過去の過ちを正そうとする努力は大切にしなければなりません。,,十分ではないかもしれませんが、過去の過ちを正そうとするあらゆる努力は大切にするべきです。,,,,,
Good luck.,頑張ってください。,,健闘を祈ります！,,,,,
...and watched your struggles to right the wrongs of your species' past.,...そして、あなたの種の過去の過ちを正すために、あなたの闘争を見ました。,,...そして、あなた方の種の過去の過ちを正そうとするあなた方の闘いを見守りました。,,,,,
...so please accept this gift from us.,...というわけで、私たちからのプレゼントを受け取ってください。,,...それでは、私たちからこの贈り物を受け取ってください。,,,,,
In our travels we have not encountered any advanced life that is without a history of atrocity and ignorance.,私たちの旅では、残虐行為と無知の歴史を持たない先進的な生命体に出会ったことはない。,,私たちの旅では、残虐行為と無知の歴史を持たない高度な知的生命体には出会ったことがありません。,,,,,
It will help dissipate the warming shroud that envelops your beautiful planet.,それは、あなたの美しい地球を包んでいる温暖化の覆いを取り除くのに役立つでしょう。,,それは、あなたの美しい地球を包み込む温暖化の覆いを取り除くことができるでしょう。,,,,,
Yet few reckon with their past...,しかし、自分の過去を清算する人はほとんどいない...。,,しかし、自分たちの過去を省みる人はほとんどいません...,,,,,
...or last long enough to try.,...または、試すのに十分な時間を持っています。,,…あるいは、まだ試みるには十分に時間があります。,,,,,
...you're really misguided...,...本当に見当違いなことを...。,,…あなたは本当に間違っている…,,,,,
...i'll do whatever i can to stop you.,...何としても阻止する。,,…私はあなたをなんとしても阻止します。,,,,,
...taking us away from limitless prosperity for everyone...,...みんなの無限の繁栄から遠ざかっている...,,…すべての人のための無限の繁栄を奪おうとしている…,,,,,
The Accelerationist is now a [nemesis] nemesis.,加速度論者は今や【宿敵】と化している。,,加速主義者が [nemesis] 敵対勢力になった。,,,,,
Our high quality lithium reserves are being depleted more rapidly than we thought.,高品質なリチウムの埋蔵量は、私たちが考えている以上に急速に枯渇しています。,,高品質なリチウムの溝雨量は、私たちが想像している以上に急速に枯渇しています。,,,,,
"Lithium's not only important for battery technology, but we use it to breed tritium for our fusion reactors.",リチウムは電池技術に重要なだけでなく、核融合炉のトリチウムを生成するのにも使われています。,,リチウムは電池技術にとって重要なだけでなく、核融合炉でトリチウムを生成するのにも利用されています。,,,,,
"There's really not much tritium on earth, but there is quite a bit on the moon...",地球上ではトリチウムは本当に少ないのですが、月では結構あるんですよ...。,,地球上のトリチウムは大変少ないのですが、月にはかなりの量があるんです…,,,,,
Did you know that maitake farmers are a vital part of local food chains?,マイタケ農家は、地域のフードチェーンに欠かせない存在であることをご存じでしょうか。,,マイタケ農家は、地域のフードチェーンに欠かせない存在であることをご存じでしょうか。,,,,,
"The Ecofeminist is now an [ally] ally. Food, Agriculture, and Protection projects are cheaper.",エコフェミニストが【盟友】になりました。食料、農業、保護プロジェクトが安くなる。,,エコフェミニストが [ally] 味方になった。食料・農業・自然保護に関わる施策の費用が大幅に下がる。,,,,,
The greatest pleasures are only narrowly separated from disgust.,最大の快楽は、嫌悪と狭義にしか分けられない。,,最大の喜びは、嫌悪からほんの少しの距離しかありません。,,,,,
We welcome you.,私たちはあなたを歓迎します。,,私たちはあなたを歓迎します。,,,,,
You seem like someone who understands this...so my party is willing to join your coalition.,あなたはこのことを理解している人のようだから...私の党はあなたの連合に参加することを望んでいる。,,あなたは、このことを理解している人のようだから…私の党はあなたの同盟に加入したいと思います。,,,,,
We welcome you.,私たちはあなたを歓迎します。,,私たちはあなたを歓迎します。,,,,,
It's almost as if a whole economy has come out of the burnt ruins in which the mushrooms grow.,まるで、焼け跡にキノコが生え、そこから経済が生まれたかのようです。,,まるでキノコの生えた焼け跡から、経済のすべてが生まれてきたかのようです。,,,,,
The greatest pleasures are only narrowly separated from disgust.,最大の快楽は、嫌悪と狭義にしか分けられない。,,最大の喜びは、嫌悪からほんの少しの距離しかありません。,,,,,
"The Ecofeminist is now an [ally] ally. Food, Agriculture, and Protection projects are cheaper.",エコフェミニストが【盟友】になりました。食料、農業、保護プロジェクトが安くなる。,,エコフェミニストが [ally] 味方になった。食料、農業、保護に関わる施策の費用が大幅に下がる。,,,,,
Would you be interested in foraging for mushrooms?,キノコの採集に興味はありますか？,,あなたはキノコの狩りに興味はありますか？,,,,,
I was talking to a friend in the city and they were describing to me how trendy it is to have a small urban garden.,都会に住む友人と話をしていたら、小さなアーバンガーデンを持つことがいかにトレンディであるかを説明されたんです。,,都会に住む友人と話していたら、都市では小さな庭園を持つことがどれだけ流行っているかを教えてくれました。,,,,,
Plus people are getting a kick out of eating food they've had a hand in growing themselves.,それに、自分たちが育てたものを食べるのは、とても楽しいことです。,,それに、みなさん自分たちの手で育てたものを食べることに刺激を受けているようです。,,,,,
Less work for me!,仕事が減る！？,,私の仕事が減りました！,,,,,
"Most of these gardens are modest, but they're able to grow quite a bit of food for the community!",これらの庭のほとんどは質素なものですが、地域のためにかなりの量の食物を育てることができるのです,,これらの庭園のほとんどは簡素なものですが、地域の人ため食料のかなりの量を栽培することができます。,,,,,
Amateur plant breeding has become a bit of trend lately!,最近、アマチュアの植物育種がちょっとしたトレンドになっていますね,,最近、アマチュアによる植物の品種改良がちょっとした流行になっています！,,,,,
Citizens are trying to come up with their own crosses with better tolerances for more extreme climates.,市民は、より厳しい気候に耐えられるような独自の交配種を考え出そうとしているのです。,,市民は、より厳しい気候にも耐えられるような独自の品種を生み出そうとしているのです。,,,,,
There have been a few notable successes! We're sharing these seeds with farmers around the world.,いくつかの注目すべき成功例がありますこの種を世界中の農家の人たちに分けています。,,注目すべき成功例もいくつかありますよ！この種を世界中の農家の人たちと共有しています。,,,,,
It's as if our soil has up and left.,まるで、私たちの土壌が立ち上がってしまったかのようです。,,まるで私たちの土壌がめくり上がり、立ち去ってしまったかのようです。,,,,,
This poses a serious respiratory health risk. We need to enact masking ordinances.,これは深刻な呼吸器系の健康リスクをもたらす。マスキング条例の制定が必要です。,,これは呼吸器に重大な健康被害をもたらします。 マスクの着用を義務づける条例を制定する必要があります。,,,,,
The end is near.,終わりが近い。,,終わりは近づいています。,,,,,
This is bad. A collapse this large and the displacement of that much water will surely have other effects.,これはまずい。これだけ大きな崩壊と、これだけの水の変位があれば、きっと他の影響もあるはずです。,,これはまずいです。 これほど大規模な崩壊とこれほどの水位の変化は、確実に他へも影響するはずです。,,,,,
"It finally happened. I hope I'd never have to say these words, but here we are.",ついに起きた。このような言葉を口にすることがなければよかったのですが、こうなってしまいました。,,ついにこの日が来てしまいました。このようなことが起こらないよう願い続けてきましたが、もう起きてしまったのです。,,,,,
"I know of some are looking for a way to restore reefs, but I don't know how likely it is to work.",サンゴ礁を復元する方法を探している人がいるのは知っていますが、どれくらいの確率でうまくいくかはわかりません。,,サンゴ礁を回復する方法を模索している人たちがいることは知っていますが、それがどれだけうまくいくかはわかりません。,,,,,
The Great Barrier Reef is dead. And other reefs are suffering a similar fate.,グレートバリアリーフは死にました。そして、他のサンゴ礁も同じような運命をたどっています。,,グレートバリアリーフは死に絶えました。そして、他のサンゴ礁も同じ運命を辿るでしょう。,,,,,
It should have never happened in the first place.,そもそも、こんなことはあってはならないことなのです。,,そもそも、こんなことはあってはならないことなのです。,,,,,
Either solar radiation management or coal power plants have caused acid rain to return...,日射管理か、石炭火力発電所による酸性雨の復活か...。,,太陽放射管理計画か、石炭火力発電所のどちらかが、酸性雨の再発を引き起こしました…,,,,,
"...but you can't make an omelette without breaking a few eggs, right?",...でも、卵を割らずにオムレツは作れないでしょ？,,...でも、卵をいくつか割らないとオムレツは作れませんよね？,,,,,
" What's worse, we will risk major accidents if this continues.",さらに悪いことに、このままでは大事故につながる恐れがある。,,さらに悪いことに、このままでは大事故に繋がる危険性があります。,,,,,
"The bridges and buildings are crumbling, you need to put more money into public infrastructure.",橋や建物が崩れているんだから、もっと公共インフラに金をかけろよ。,,橋や建物は崩壊しつつあるので、公共インフラにもっと資金を投入する必要があります。,,,,,
I don't think it's worth it.,その価値はないと思う。,,そんな価値はないと思います。,,,,,
"The sulphuric acid eats away at concrete, turning the calcium carbonate into gypsum. We'll have to rebuild many of our bridges and buildings decades years earlier than we expected.  People aren't happy about their cities seemingly melting away in front of their eyes.",硫酸がコンクリートを食い荒らし、炭酸カルシウムを石膏に変えてしまうのだ。橋や建物の多くは、予想より何十年も早く建て替えなければならなくなるだろう。人々は、目の前の街が溶けていくような状況を好ましく思っていない。,,硫酸はコンクリートを侵食し、炭酸カルシウムを石膏に変えてしまいます。 多くの橋や建物は、予想よりも何十年も早く立て替えなければならないでしょう。 人々は自分たちの街が目の前で溶けて消えていくような状況を見逃せません。,,,,,
"The acid eats away at concrete, causes 'forest death', and kills lakes. ",酸はコンクリートを食い荒らし、「森の死」を引き起こし、湖を枯らす。,,酸はコンクリートを侵食し、「森の死」を引き起こし、湖を殺します。,,,,,
"Actually, it's not that significant.",実は、それほど大きな意味はないんです。,,実際には、それほど重要ではありません。,,,,,
People's are not happy with your performance...[hud_contentedness] outlook is really low.,あなたのパフォーマンスに人々が満足していない...[hud_contentedness]見通しは本当に低いです。,,あなたの[hud_contentedness] 実績が非常に低いことに…人々は満足していません。,,,,,
You need to get a handle on this situation or your career as a planner will come to an end one way or another.,この状況を打開しなければ、あなたのプランナーとしてのキャリアはいずれ終わりを迎えるでしょう。,,この状況を打開しなければ、あなたの計画立案者としてのキャリアはいずれ終わりを迎えるでしょう。,,,,,
This is a message from the people!,これは国民からのメッセージだ!,,これは国民からのメッセージだ！,,,,,
BOOM,ブーム,,ドーン！,,,,,
You ought to--,あなたは...,,あなたはなすべきだった...,,,,,
That was a close one--that grenade nearly got you!,危なかった...手榴弾にやられるところだった!,,危なかった...手榴弾にやられるところだった！,,,,,
We've got to do something about the rising temperature!,気温の上昇をどうにかしないと!,,気温の上昇をどうにかしなければ！,,,,,
"I recommend throwing all our options we have at the issue, one of them has got to work!",私たちが持っているすべての選択肢を、この問題にぶつけることをお勧めします。,,私たちは取り得る手段をすべて講じて、そのうち1つでも効果があげられるようにしなければなりません！,,,,,
A train filled with Nyodene Derivative has derailed near your location.,ニョーデン誘導体を満載した列車が、あなたのいる場所の近くで脱線しました。,,ニョデネ誘導体を積んだ列車が、あなたのいる場所の近くで脱線しました。,,Nyodene Derivativeが不明です…,,,
"It's hard to hear the radio reports of the disaster over the white noise of your equipment, TV, tablet, and smartphone.",機器やテレビ、タブレット、スマートフォンのホワイトノイズの中で、ラジオの震災報道を聞き取るのは難しい。,,テレビ、タブレット、スマートフォンなどの機器のホワイトノイズのせいで、ラジオの災害情報を聞き取るのが困難です。,,,,,
"But you can't leave, you're an important planning professional! ",でも、大事な企画のプロなんだから、帰っちゃダメだよ!,,しかし、あなたは政策の責任者なので、その場を離れてはいけません。,,,,,
"This September, our satellites recorded...",今年9月、私たちの人工衛星が記録したのは...,,今年9月、私たちの人工衛星が記録したのは...,,,,,
The change from high albedo ice to a dark sea will accelerate warming.,アルベドの高い氷から暗い海への変化は、温暖化を加速させる。,,アルベドの高い氷床から暗い海へと変化することで、温暖化はさらに加速するでしょう。,,,,,
Zero square kilometres of arctic sea ice.,北極海の海氷は0平方キロメートル。,,北極海の海氷は0平方キロメートル。,,,,,
"Planner, you don't look so good...",プランナーさん、顔色悪いですよ...。,,おや、顔色悪いですよ…,,,,,
THUD,THUD,,バタン！,,,,,
Planner?,プランナー？,,ちょっと？,,,,,
Maybe you should lie down for a bit.,少し横になったほうがいいのでは？,,少し横になられたほうがいいのではないですか？,,,,,
"A new virus has emerged, either from a factory farm or a degraded forest, we don't know yet for sure.",新しいウイルスが発生した。工場農場からか、荒廃した森林からか、まだはっきりしたことは分からない。,,新しいウイルスが、工場式農場か荒廃した森林のいずれからか発生しましたが、まだ正確にはわかっていません。,,,,,
"As long as we have a large livestock industry and deforestation, these tragedies will keep happening.",大規模な畜産業と森林伐採がある限り、こうした悲劇は起こり続けるでしょう。,,大規模な畜産業と森林破壊がある限り、このような悲劇は起こり続けるでしょう。,,,,,
"The mortality rate is 2%, which can still kill millions but we predict that a new zoonosis could much deadlier.",死亡率は2％で、それでも数百万人が死亡する可能性がありますが、新しい人獣共通感染症はもっと致命的なものになる可能性があると予測しています。,,死亡率は２％で、それでも数百万人が死亡する可能性がありますが、新たな人獣共通感染症はさらに致命的なものになる可能性があると私たちは予測しています。,,,,,
"This one was bad, but ",今作は悪かったが,,こちらはダメでしたが、,,,,,
"As Trotsky once said: 'Man will occupy himself with re-registering mountains and rivers, and will earnestly and repeatedly make improvements in nature.'",かつてトロツキーが言ったように、『人間は山や川を登録し直すことで頭がいっぱいになり、真剣に繰り返し自然を改良していくだろう』。,,かつてトロツキーが言ったように、「人間は山や川を新しく地図に書き加えることに執心し、真面目に繰り返し自然を改変していくでしょう。」,,,,,
"You are so, so misguided.",あなたはとても、見当違いをしています。,,あなたはあまりにも見当違いをしています。,,,,,
I'm not going to let you ruin everything.,すべてを台無しにさせるつもりはない。,,あなたにすべてを台無しにさせるつもりはありません。,,,,,
"Sure, we'll be equal, but only in common misery.",確かに、私たちは平等でしょう。しかし、共通の不幸があるだけです。,,確かに、私たちは平等になりますが、それは共に不幸になるだけです。,,,,,
You really think we can all live on this Earth without torpedoing living standards?,生活水準を落とさずに、この地球でみんなが生きていけると本当に思っているのか？,,私たち全員が生活水準を落とさずに、この地球上で生きていけると本気で思っているのですか？,,,,,
The Malthusian is now a [nemesis] nemesis.,マルサス派は今や【宿敵】ネメシス。,,マルサス主義者が [nemesis] 敵対勢力になった。,,,,,
The natural world just cannot support this many people.,これだけの人数を自然界は支えられないのです。,,自然界はこれだけの人口を養うことはできないのです。,,,,,
"By removing so many dams, rivers around the world have come back to life. ",多くのダムを撤去することで、世界中の川がよみがえりました。,,多くのダムを解体することで、世界中の河川がよみがえりました。,,,,,
"Cases of schistomiasis, caused by parasitic worms, have also fallen dramatically! ",寄生虫による住血吸虫症の患者も激減しているのです,,寄生虫が原因で引き起こされる住血吸虫症の患者も劇的に減少しています。,,,,,
"Rewilding and river restoration has not only decreased methane emissions and regulated streamflows, but also decreased wildfire severity. Thank a beaver.",野生復帰と河川再生は、メタンの排出を減らし、流量を調節するだけでなく、山火事の深刻さを減少させました。ビーバーに感謝,,河川が再生し、野生に戻っていくことで、メタンの排出は減少しましたし、河川の水量が安定しただけでなく、深刻な山火事のリスクも低減しました。ビーバーさまさまですよ。,,,,,
The rapid rate of permafrost melting is releasing new methane and carbon dioxide into the atmosphere.,永久凍土の急速な融解により、新たなメタンと二酸化炭素が大気中に放出されているのです。,,永久凍土の急速な融解により、新たにメタンと二酸化炭素が大気中に放出されています。,,,,,
It's one more source of emissions that we'll need to worry about.,また一つ、心配な排出源が増えましたね。,,これは私たちが憂慮すべきもう一つの排出源です。,,,,,
Protests against your plans have escalated into riots in some places.,あなたの計画に対する抗議が暴動に発展しているところもあります。,,あなたの計画に対する抗議活動が、一部の地域で暴動にまで発展しています。,,,,,
See if you can turn things around...I don't like where this is going.,事態を好転させられるかどうか...このままではいけないと思います。,,事態を好転させられるかどうか...このままではいけないと思います。,,,,,
We'll need help from various technologies and techniques to survive and flourish over the next century.,次の世紀を生き抜くために、私たちはさまざまな技術や手法の助けを借りなければならないでしょう。,,私たちが次の世紀を生き抜き、繁栄するためには、さまざまな技術や手法の助けが必要です。,,,,,
Plan items are represented as these cards here.,プランの項目は、ここではこれらのカードで表現しています。,,このカードを上にドラッグしてください！これから実行する計画に追加されます。,,,,,
"Drag a card up into the scanner to add it to your plan, and hold it there to commit more [research] research points.",カードをスキャナーにかざすとプランに追加され、かざすとさらに[研究]研究ポイントがコミットされます。,,カードを上にドラッグすることで、これから実行する計画に追加され、さらに静止し続けると[research]ポイントが使用されます。,,,,,
"If you change your mind, drag the card down to reset its points.",気が変わったら、カードを下にドラッグしてポイントをリセットしてください。,,もしも気が変わったら、カードを下にドラッグすることでポイントをリセットすることができます。,,,,,
Here you can turn [political_capital] political capital into [research] research points and use that to set research priorities.,ここでは、[political_capital]政治資金を[research]研究ポイントに変え、それを使って研究の優先順位を設定することができます。,,ここでは[political_capital] 政治資本を、[research]研究ポイントに変換して、それを使用し研究の優先順位をせっていすることができます。,,,,,
"Not only new ones, but also the re-introduction and refinement of older ones too.",新しいものだけでなく、古いものも再導入し、リファインしています。,,新しいものだけでなく、古いものの再導入や改良も行われます。,,,,,
This is extremely dangerous as now the entire West Antarctic Ice Sheet is at risk.,西南極氷床全体が危険にさらされることになり、非常に危険です。,,現在、西南極の氷床全体が危険にさらされているため、これは非常に危険です。,,,,,
I packed up and left the city some time ago when the reruralization program started.,私はしばらく前に、再立地計画が始まったときに荷物をまとめて街を離れました。,,再農村化計画が始まる少し前に、私は荷物をまとめて街を離れることにしました。,,,,,
"I love it. Hikes through the forests, volunteering on local farms, having time to swim and read...",私はそれが大好きです。森をハイキングしたり、地元の農場でボランティアをしたり、泳いだり本を読んだりする時間があること...。,,森の中をハイキングしたり、地元の農場でボランティアをしたり、泳いだり、読書したりする時間を過ごします…とても素敵な時間です。,,,,,
I know many others share my experience.,私と同じような経験をお持ちの方はたくさんいらっしゃると思います。,,私と同じような経験をお持ちの方は、たくさんいらっしゃると思います。,,,,,
"With the new train network, it's not too difficult for me to visit the city when I'm craving it.",電車網も整備され、行きたいときにすぐに行けるようになりました。,,新しい鉄道網のおかげで、街に行きたいときにすぐに行けるようになりました。,,,,,
"I'd never seen myself living out in the country, but I was in a tough time and thought a fresh start might do me good.",田舎に住んでいる自分など見たこともなかったが、大変な時期だったので、心機一転頑張ろうと思った。,,私は自分が田舎で暮らすなんて考えたこともありませんでしたが、ちょっと辛い時期だったので、心機一転できるのではないかなと思いました。,,,,,
We're seeing signs of ozone depletion at a worrying rate.,オゾン層破壊の兆候は、心配な速度で現れています。,,オゾン層破壊の兆候が、憂慮すべき速度で進行しています。,,,,,
I suspect this may have to do with solar radiation management...,これは、日射管理に関係があるのではないかと思うのですが...。,,おそらく太陽放射の管理が関係しているのではないかと思うのですが…,,,,,
You get it! I can see it!,わかるか!見えるぞ！,,おわかりになったようですね！私にはわかっています！,,,,,
"There are too many! A lot of people are scared of that reality, but I can see that you aren't.",多すぎるんです！多くの人がその現実に怯えていますが、あなたはそうでないことがよくわかります。,,多すぎるんですよ！多くの人がその現実を恐れていますが、あなたは違うことがよくわかります。,,,,,
The Malthusian is now an [ally] ally. Population projects are substantially cheaper.,マルサス派は今や【盟友】である。人口プロジェクトは大幅に安くなる,,マルサス主義者が [ally] 味方になった。人口に関わる施策の費用が大幅に下がる。,,,,,
My party will join your coalition.,私の党はあなたの連合に参加します。,,私の党は、あなたの同盟に加入します。,,,,,
We need more planners like you to do what needs to be done.,あなたのような、やるべきことをやるプランナーがもっと必要です。,,やるべきことをやるためには、あなたのような政策立案者がもっと必要です。,,,,,
"We can chase all the new technologies we want, or try to live in peace with nature...",新しい技術を追い求めるか、自然と共存していくか...。,,私たちは、あらゆる新しい技術を追い求めることができますし、あるいは自然と平和に暮らしてみることもできます...,,,,,
"but nothing changes the fact that it all comes down to people, people, people!",しかし、すべては人、人、人であることに変わりはないのです。,,しかし、すべては人、人、人だけが重要である事実はなにも変わりません。,,,,,
"This happened once before in Europe during the 14th century, no one knows for sure why it started.",14世紀のヨーロッパで一度だけ起こったことだが、なぜ始まったのか、誰もはっきりしたことは知らない。,,14世紀にヨーロッパでもかつて一度流行ったことがありますが、なぜ始まったのか確かなことは誰にもわかりません。,,,,,
Perhaps the compulsive dancing allows some relief from stress and grinding poverty.,おそらく、強迫的に踊ることで、ストレスや貧困から解放されるのでしょう。,,おそらく、取り憑かれたように踊ることで、ストレスや極度の貧困を一瞬でも忘れることができるのでしょう。,,,,,
"Maybe it's a dance craze, but my professional opinion is that people are too anxious. We've got to do something to make people's lives easier",ダンスブームなのかもしれませんが、私の専門的な意見としては、人々は不安になりすぎているのだと思います。人々の生活をより快適にするために、何かしなければならないのです,,単にダンスがブームというだけのことかもしれませんが、私たち専門家の見立てでは、多くの人が不安に陥っている野だと思います。民衆の生活を向上するために、なにか手を打たなければなりません。,,,,,
I feel like you're missing the bigger picture.,大局を見誤ってる気がする。,,あなたは大局を見失っていると思います。,,,,,
"You've kind of got tunnel vision with this whole earth stuff, don't you think?",地球がどうのこうのって、なんかトンネルビジョンになってない？,,地球について考えるのに、あなたはすっかり視野狭窄に陥っているんじゃありませんか？,,,,,
The only way we can truly achieve communism is through first contact.,真に共産主義を実現するためには、ファーストコンタクトしかない。,,真の共産主義を実現する唯一の方法は、宇宙人とのファーストコンタクトしかありません。,,,,,
We need to reach out to other lifeforms and see what they can teach us.,他の生命体に接触して、彼らが教えてくれることを確認する必要があります。,,他の知的生命他と接触することで、彼らの教えを確かめる必要があります。,,,,,
The Posadist is now a [nemesis] nemesis.,ポサドリストが[宿敵]宿敵になった。,,ポサディストが [nemesis] 敵対勢力になった。,,,,,
"Well, it happened again. This new disease also appears zoonotic in origin.",さて、また起こった。この新しい病気は、人獣共通感染症に由来するようです。,,ああ、またです。 この新しい病気も、人獣共通感染症に由来すると思われます。,,,,,
High land use or livestock production increase the risk of this problem...,土地の使用量が多かったり、家畜の生産量が多かったりすると、この問題のリスクが高まります...。,,土地利用や家畜生産が多いと、この問題のリスクが高まります...,,,,,
...maybe you can take a look at those?,...もしかしたら、それらを見ていただけるかもしれません。,,…ちょっと、これを見ていただけませんか？,,,,,
There are too many people in this world anyway.,とにかく世の中には人が多すぎる。,,とにかくこの世界には人が多すぎるのです。,,,,,
"Once-in-a-decade heavy rains have now become commonplace, leading to overflowing rivers capable of destroying hundreds of homes.",10年に一度の大雨が日常となり、川が氾濫し、何百もの家屋が倒壊することもある。,,10年に一度の大雨が常態化した今、何百もの家屋を倒壊させる可能性がある河川の氾濫が起こります。,,,,,
"If you can do anything to lower the temperature, we should see fewer of these events.",気温を下げる工夫をすれば、このような事象は少なくなるはずです。,,気温を下げる対策を行うことができれば、このような出来事を少なくすることができるはずです。,,,,,
Some crops are doing well with the heat and extra CO2 in the air...,暑さと空気中の余分な二酸化炭素で、うまくいっている作物もありますが......。,,気温の上昇と空気中の余分な二酸化炭素の影響で、むしろ順調に育つ作物もありますが...,,,,,
..but overall yields are down and they'll just get worse the warmer it gets!,...しかし、全体的な収量は減少しており、気温が上がれば上がるほど、さらに悪化することが予想されます。,,…しかし、全体的な収穫量は減少しており、気温が上がるほどさらに悪化することが予想されます！,,,,,
...but they also make things worse in the long-run.,...しかし、長期的には事態を悪化させる。,,…が、長期的に見れば事態は悪化していきます。,,,,,
Industrialized agriculture and vertical farming are the most resilient against these temperatures...,この気温に対して最も強いのは工業化された農業と垂直農法である...。,,工業システム型農業と垂直農業は、これらの気温の変化に対して最も耐性があります...,,,,,
You need to cool things off--fast--or we'll be seeing a lot of hungry people.,早く冷やさないと、お腹を空かせた人たちが大勢来ることになりますよ。,,一刻も早く、気温を下げないと、空腹の民衆が大挙して押し寄せてくることになります。,,,,,
You seem like someone who loves nature.,自然が好きな人のようですね。,,あなたは、自然を愛する人のようですね。,,,,,
It's all about ~harmony~.,それは、「～ハーモニー」です。,,それはすべて「調和」なのです。,,,,,
"Anyway, my party is joining your coalition, since I think we feel the same way.",とにかく、私の党は、あなたと同じ気持ちだと思うので、あなたの連合に参加します。,,ともあれ、あなたと同じ気持ちだと思うので、私の党はあなたの同盟に加入しますよ。,,,,,
